task,regime,seed,role,episode,success,steps,policy_action_steps,stay_steps,expired_chunks,wall_seconds,initial_sha256
bimanual_microwave_cook,rand_full,0,retry,31,false,1100,1099,1,0,151.114816904068,b55561e56aec8e5bff4d397bd1081083da2af910a9aaa383891df7fc2fd38ee5
bimanual_microwave_cook,rand_full,0,retry,32,false,1100,1100,0,0,160.64058804512024,713d9eff579bc37011c63a238a7cb6649f0a2ea532a1e5d55ac2a9ceb89657aa
bimanual_microwave_cook,rand_full,0,retry,33,false,1100,1100,0,0,163.13581109046936,77a188187048693f4eb315d1d4dfbe4ede3ccfb2738f9ef05865738f3d2ddb82
bimanual_microwave_cook,rand_full,0,retry,34,false,1100,1100,0,0,161.21755266189575,33a02d47de96b61ad1f2112b8b4b86d8aab2b36b8535719004856bf46fd4718c
bimanual_microwave_cook,rand_full,0,retry,35,false,1100,1100,0,0,169.73195481300354,00a980b9e5ccd322ef7392e919dc1de18d841e37e495ac74edfc0ac0d4cda421
bimanual_microwave_cook,rand_full,0,retry,36,false,1100,1100,0,0,168.7949812412262,38343d7c53246b62011a8be49554e9a3e798e7185c6d018184a3a24c781652a5
bimanual_microwave_cook,rand_full,0,retry,37,false,1100,1100,0,0,168.47913122177124,3c48b0c1e5c215aa0ca344e3ba77eb9f7ca3c70c63703ee2883337bdefd52e97
bimanual_microwave_cook,rand_full,0,retry,38,false,1100,1100,0,0,161.9686257839203,5628e3f1bfbeebb24f3670cdc471a4391f54afbfc5dbace2a42a22d2fe41a7bd
bimanual_microwave_cook,rand_full,0,retry,39,false,1100,1099,1,0,167.0850281715393,9ff6e479033abe72917ed6bdaaafd0ec4196259e01c19bc2bd0fb8188685ec10
bimanual_microwave_cook,rand_full,0,retry,40,false,1100,1100,0,0,156.5142903327942,bea937bb1229d07fb2cafc8adca0fc7152e8f1b0415ee7714d9c2c913f5faf0f
bimanual_microwave_cook,rand_full,0,retry,41,false,1100,1100,0,0,152.06487035751343,c306b37b00823b97a6d375f2e77bff8710cc7515507844c306a48a7bb206738c
bimanual_microwave_cook,rand_full,0,retry,42,false,1100,1100,0,0,154.70605993270874,9fd45b80ad5d31502d251184ded7afd8812030ee73f503559cdfaffdff38f1e7
bimanual_microwave_cook,rand_full,0,retry,43,false,1100,1100,0,0,176.14555096626282,6cb264cc956c5f347421f61f26be16fccb522ce86e23bc93f85c1e61caa1d450
bimanual_microwave_cook,rand_full,0,retry,44,false,1100,1100,0,0,168.4865608215332,3099ab811190bd7f417c1609db222143fcb8d93c333e8c6ee9e673069b5d994b
bimanual_microwave_cook,rand_full,0,retry,45,false,1100,1100,0,0,165.18948936462402,513dffd2c159fd26af83f30986afc256c93cabad2ce249a1b19a8101774dd5f4
bimanual_microwave_cook,rand_full,0,retry,46,false,1100,1100,0,0,157.8743188381195,94bca463a5d2ad9a4ba4835063e43ac1dc75ff4ec29a35ade0eb5d4b917fd567
bimanual_microwave_cook,rand_full,0,retry,47,false,1100,1100,0,0,152.80507588386536,9cee382f2dc9694483b3b883c9c7de227bd18569a186382736ff83d9059f9bb9
bimanual_microwave_cook,rand_full,0,retry,48,false,1100,1100,0,0,157.8166422843933,24392a6a81277a47433746cd2a5a586abc683de94ef69938b8c42aec2127f903
bimanual_microwave_cook,rand_full,0,retry,49,false,1100,1099,1,0,151.90374279022217,e403fbea79c92495e43626e5156efae58d489e4f911cade7816b5cda4e22b915
bimanual_microwave_cook,rand_full,1,retry,0,false,1100,1100,0,0,183.55703377723694,99bfa6898645d2c5fa802a2c93c98788fc014c31abb3618bb0566a6e7223d4ab
bimanual_microwave_cook,rand_full,1,retry,1,false,1100,1100,0,0,176.78014016151428,2ceee78e5d441010140e471547d5417e23c39ac6c6a71e01ed643c641c380d7d
bimanual_microwave_cook,rand_full,1,retry,2,false,1100,1100,0,0,172.70266342163086,23545942910d8f2a6dab7ea8a7176830f2992e5b0a34c082f612a326d9124f2c
bimanual_microwave_cook,rand_full,1,retry,3,false,1100,1100,0,0,173.52964806556702,c6a8ec0d59ba675d74ff98419d40d5e5f6ee022c6c48dde39227c1e84192ad0d
bimanual_microwave_cook,rand_full,1,retry,4,false,1100,1100,0,0,172.35300636291504,0cb2188819ce60271f86414091fc3bbf38f062db1d887df4825170a778c825a0
bimanual_microwave_cook,rand_full,1,retry,5,false,1100,1100,0,0,162.56212258338928,aeee12255f2e15407f02c18c7725aaac1af7200813d8c248fc40dacf25471d1d
bimanual_microwave_cook,rand_full,1,retry,6,false,1100,1100,0,0,177.76082754135132,5b771bbc1292d78532c516d6a62a834049246b7a7d0a447d1b2d6c3de512e61f
bimanual_microwave_cook,rand_full,1,retry,7,false,1100,1100,0,0,168.78251671791077,45bac96dbc7cbb55e4b75c75cea13857d4639c0e37ce06b6c9bb91869923e00b
bimanual_microwave_cook,rand_full,1,retry,8,false,1100,1100,0,0,163.33128571510315,4302edd5ba459d19ba08fd387f4d8646b889f8b0bc7dadfa882eb45724ea9992
bimanual_microwave_cook,rand_full,1,retry,9,false,1100,1100,0,0,178.63953971862793,75affa1385e5d9d496c8ecee5edac6c763a5413387783c91371b9289ab07b9fb
bimanual_microwave_cook,rand_full,1,retry,10,false,1100,1100,0,0,172.02319192886353,3f8e3cea45be41947adf41047c0d90dec931a63d651e9eaf2407907a1ed13290
bimanual_microwave_cook,rand_full,1,retry,11,false,1100,1099,1,0,171.01034593582153,733394426ab04490c640fedc5b3d0d95bae9dc95a24dcac1eaa507061fa05f6a
bimanual_microwave_cook,rand_full,1,retry,12,false,1100,1100,0,0,171.18143916130066,d384f2c35bbe08b852576dc6fa67a2b5447b0939bc0f61db5fd2a7474eb3b85e
bimanual_microwave_cook,rand_full,1,retry,13,false,1100,1100,0,0,170.36819911003113,51bb2adbf656863e2a7bf4b6cad92d416ec96e9d34f19837e4b351975b168e24
bimanual_microwave_cook,rand_full,1,retry,14,false,1100,1099,1,0,169.70766758918762,59aa28a89c08b8aaf74c4fb144c8eb4c4d8217ba7ba4c54adba1bcd023b4e2b5
bimanual_microwave_cook,rand_full,1,retry,15,false,1100,1100,0,0,182.05759358406067,e1b9d9cef4293367fb6be1ffd9fd44fc246dc1949b5b0308582d8d2ac754827f
bimanual_microwave_cook,rand_full,1,retry,16,false,1100,1100,0,0,172.31339645385742,81ec19c3a63fd77408d8a63d67906e3e67497e365399b9f0f4d2a14fb016e049
bimanual_microwave_cook,rand_full,1,retry,17,false,1100,1100,0,0,169.00741028785706,280b074b4bdc05f5b770f75b889f401d6b16a66e4460f1fdbc16fb6d7d193975
bimanual_microwave_cook,rand_full,1,retry,18,false,1100,1100,0,0,175.5816786289215,69e03944589d18b5f7eabcf260e9e34107513f961e15c39dc749925adcc07d79
bimanual_microwave_cook,rand_full,1,retry,19,false,1100,1100,0,0,170.38206124305725,c6f507f2f776c4f1a7947a1e856adba726e553a79f9e963dddb63a0f5f8fcb40
bimanual_microwave_cook,rand_full,1,retry,20,false,1100,1100,0,0,159.2970643043518,96b996a12cae6f93b086798116837d144fd8650e42cc762e8daca867a93a3447
bimanual_microwave_cook,rand_full,1,retry,21,false,1100,1100,0,0,175.91745901107788,d6fe1e21ebd3e7da29f1f80b358d0fdf0db60a52b7f14f295dfd8f0f3ecda6a5
bimanual_microwave_cook,rand_full,1,retry,22,false,1100,1100,0,0,170.86754250526428,4ec44ab8fd8daf0b7d428286c4d5d108e46b702a5e7fdd041b737a8b5e81e4dd
bimanual_microwave_cook,rand_full,1,retry,23,false,1100,1100,0,0,168.34007358551025,6625b7e5b0c4cbf047a5db74e137503e453905acec0e9dcf1b7548e7a7a82d50
bimanual_microwave_cook,rand_full,1,retry,24,false,1100,1100,0,0,165.46172523498535,68cb98a6d9704c785f06ebff39f7d882d3f43cefd0acef0febd2c1ecf7fe118c
bimanual_microwave_cook,rand_full,1,retry,25,false,1100,1100,0,0,167.53164935112,dd58f367e15e6a3908fd04feef87c2f6564e2e22d3e566d89e3ce23911c6d420
bimanual_microwave_cook,rand_full,1,retry,26,false,1100,1100,0,0,152.90293169021606,c908b479b0ff5d2e7ffb151ddd514f759d7692c5f0e24cc889ef31ae58cffd8d
bimanual_microwave_cook,rand_full,1,retry,27,false,1100,1100,0,0,160.4876959323883,844782aa9cf77057b6ead206655aecc944d855e12fa5be170374d48f667d3ca7
bimanual_microwave_cook,rand_full,1,retry,28,false,1100,1100,0,0,160.8087420463562,8fb8b26008119e6cecdb2bf148554e4f937e7820af462e2173bf66e8533268e8
bimanual_microwave_cook,rand_full,1,retry,29,false,1100,1100,0,0,151.3955557346344,c0fb06e9d98f2a742bba5fac84bf7f20f93f19ce9eadbc5b0d414a7c6b7a509e
bimanual_microwave_cook,rand_full,1,retry,30,false,1100,1100,0,0,147.21906757354736,f5f345e6736f7886dd57fa325c304bc709c8c7960eaf84f7a41980921ebfc0df
bimanual_microwave_cook,rand_full,1,retry,31,false,1100,1100,0,0,158.04988074302673,921c84f6b7f6896b1e963a45ef21e37c117ab60b85f95ff357c04e7cd0a8967e
bimanual_microwave_cook,rand_full,1,retry,32,false,1100,1100,0,0,161.92485976219177,73fa83a8cc9e750e07a9f3d3d10c5795dda83342fcccf01402dc4d3909df616b
bimanual_microwave_cook,rand_full,1,retry,33,false,1100,1099,1,0,157.34646224975586,e667291b3888ef1aa11dba083d2a7d6df8e510a54804d320d90eb579969eefff
bimanual_microwave_cook,rand_full,1,retry,34,false,1100,1099,1,0,163.66980957984924,4b090d9a8d011e8421525bf77a46fc114f7b29734a2b263062019ad94402dcf1
bimanual_microwave_cook,rand_full,1,retry,35,false,1100,1099,1,0,158.78672170639038,2acccdf6482d05db6b01d0fe94040ac4ee32b1a3a23dbf5c37433e8b45a188c7
bimanual_microwave_cook,rand_full,1,retry,36,false,1100,1100,0,0,157.6184892654419,80ba7fe77436a47bea8634afd003e206ca7632f7848dc51a881d257fcb05574e
bimanual_microwave_cook,rand_full,1,retry,37,false,1100,1100,0,0,156.80908679962158,e14dd9225ab277f376075c29a3c9c08fa00742f230dbbcb24d692e39bf41ecd6
